Time,,2015,2016,2017,2018,2019,2020,2021
Liberia,,2.17083,2.14813,2.76128,2.58412,2.27039,2.30929,..
Lithuania,,4.22719,4.00431,3.8122,3.89496,..,..,..
Luxembourg,,3.9182,..,3.56959,3.66626,..,..,..
Madagascar,,2.21012,2.68719,2.83642,2.87452,2.9449,..,..
Malawi,,5.60866,4.74857,4.03133,3.38194,3.71132,2.90762,..
Malaysia,,4.89487,4.75192,4.67531,4.4796,4.16339,..,..
Maldives,,3.88749,3.68701,3.88747,3.91249,4.12159,..,..
Mali,,3.80152,3.09478,3.78977,3.88253,3.43868,..,..
Malta,,5.02398,5.08446,4.65163,..,..,..,..
Marshall Islands,,..,..,..,..,9.61129,..,..
Mauritania,,..,1.94406,..,..,1.89373,1.88659,..
Mauritius,,4.88667,5.0136,5.02313,4.83459,4.7193,4.608,..
Mexico,,5.22942,4.90682,4.51822,4.25443,..,..,..
Micronesia (Federated States of),,12.40792,13.51266,12.41642,9.69705,..,..,..
Monaco,,..,1.37093,1.45793,..,1.15266,..,..
Mongolia,,4.17699,5.18061,4.08859,6.17302,4.94089,..,..
Montserrat,,..,..,..,8.88188,9.07445,..,..
Mozambique,,6.01083,5.86504,5.50556,5.45219,6.22999,..,..
Myanmar,,2.1,1.9,2.08768,1.92289,1.97421,..,..
Namibia,,9.9137,10.65203,9.75998,8.98805,9.48041,9.40959,..
Nepal,,3.25902,3.90321,4.76722,4.43445,..,..,..
Netherlands,,5.34816,5.4796,5.1751,5.35765,..,..,..
New Zealand,,6.32506,6.41179,6.25974,6.0485,..,..,..
Nicaragua,,4.07843,4.08114,4.35769,3.56255,3.44283,..,..
Niger,,4.4859,2.97096,2.57716,3.44698,3.52317,..,..
Norway,,7.56933,8.03055,7.91198,7.64411,..,..,..
Oman,,..,..,5.84019,5.20723,5.41321,..,..
Pakistan,,2.65002,3.00292,2.89952,..,2.50755,..,..
Palestine,,4.66322,4.98296,4.72154,5.31887,..,..,..
Panama,,2.83629,2.84608,2.88224,2.88293,3.12736,..,..
Papua New Guinea,,..,..,1.96493,1.87483,..,..,..
Paraguay,,3.33815,..,3.08969,3.2832,3.46971,..,..
Peru,,3.96933,3.81317,3.93131,3.7143,3.81996,4.24668,..
Philippines,,3.33,3.57,4.4,3.1331,3.23437,..,..
Poland,,4.80994,4.6334,4.55846,4.6158,..,..,..
Portugal,,4.88554,..,5.01561,4.67516,..,..,..
Qatar,,..,..,2.96746,..,2.81229,3.19033,..
Republic of Korea,,..,4.3331,4.32824,4.45808,..,..,..
Republic of Moldova,,5.80569,5.60845,5.61844,5.43973,6.10458,..,..
Romania,,3.10963,2.97989,3.09539,3.34475,..,..,..
Russian Federation,,3.83403,3.76044,4.68991,4.6782,..,..,..
Rwanda,,3.64916,3.43673,3.12646,3.07375,3.35546,3.40727,..
Saint Kitts and Nevis,,2.64346,..,..,..,..,..,..
Saint Lucia,,3.86773,5.20828,3.63348,3.3318,3.26488,3.56905,..
Saint Vincent and the Grenadines,,..,5.7334,5.73196,5.69378,..,..,..
Samoa,,4.85773,4.16222,4.18316,4.53215,4.70625,4.80916,..
San Marino,,..,..,3.36997,3.55516,3.3797,..,..
Sao Tome and Principe,,3.8646,5.17304,5.03637,5.23511,5.92155,..,..
Senegal,,5.45638,5.11309,4.62497,4.85822,5.2872,..,..
Serbia,,3.7864,3.6347,3.71016,3.58232,3.61922,..,..
Seychelles,,4.2229,4.42102,3.67729,4.49884,3.91459,..,..
Sierra Leone,,3.05729,3.06023,4.63577,6.98963,7.36543,9.26147,..
Singapore,,2.86309,2.87483,2.76826,2.64509,2.63197,2.50666,..
Slovakia,,4.599,3.91107,3.94064,3.97583,..,..,..
Slovenia,,4.90953,4.79267,4.78078,4.93604,..,..,..
Solomon Islands,,10.1349,..,..,..,..,..,..
South Africa,,5.95619,5.94285,6.11306,6.15899,6.50505,6.83613,..
South Sudan,,1.46556,1.5439,..,..,..,..,..
Spain,,4.28657,4.22764,4.20778,4.17816,..,..,..
Sri Lanka,,2.22875,3.4492,2.79925,2.13539,..,..,..
Suriname,,5.92651,5.9803,6.10751,5.6886,7.23706,..,..
Sweden,,7.4439,7.61862,7.56883,7.64084,..,..,..
Switzerland,,4.93845,4.92646,4.95157,4.86094,..,..,..
Tajikistan,,4.96774,5.76368,5.83797,5.55836,5.7129,..,..
Thailand,,3.75967,3.63752,3.35573,3.05677,2.96898,..,..
Timor-Leste,,8.44515,8.07843,7.1061,6.83091,..,..,..
Togo,,5.1086,3.68649,3.76053,4.04394,4.96938,..,..
Tonga,,..,..,..,6.37291,7.95963,..,..
Trinidad and Tobago,,3.37328,3.97192,3.56127,3.28624,3.56124,..,..
Tunisia,,6.596,7.32435,..,..,..,..,..
Turkey,,..,..,..,4.2946,..,..,..
Turkmenistan,,..,..,..,..,3.12065,..,..
Turks and Caicos Islands,,3.09325,3.06549,2.97729,2.74377,3.4884,..,..
Uganda,,2.33153,2.14711,2.26336,2.13052,2.64981,3.01393,..
Ukraine,,5.74256,5.00978,5.41226,5.31948,5.43965,..,..
United Arab Emirates,,..,..,..,..,3.1027,..,..
United Kingdom of Great Britain and Northern Ireland,,5.55305,5.41894,5.44418,5.2389,..,..,..
United Republic of Tanzania,,4.19487,4.10197,4.43051,3.69644,3.53498,3.10434,..
Uruguay,,..,4.38086,4.48584,4.6628,4.68332,..,..
Uzbekistan,,5.78638,5.66773,5.28134,5.9,7.00186,5.11241,..
Vanuatu,,5.60338,..,4.53353,..,1.78588,2.3125,..
Venezuela (Bolivarian Republic of),,1.93018,1.19023,1.34408,..,..,..,..
Viet Nam,,4.46576,4.34481,4.08554,4.16745,4.06197,..,..
Zambia,,4.62433,3.74792,3.72964,4.73974,4.46518,..,..
Zimbabwe,,5.81279,5.47262,5.38106,3.58728,..,..,..
